"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5033-Dc-003","Verkäuferin an der Kasse einer LVZ-Filiale, ca. 1970","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Dc-004","LVZ-Lastwagen vor der Zentrale des LVZ in Zürich, ca. 1970","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Dc-005","Lastwagen ""Brennstoffe"" des LVZ vor einem Hochhaus in Zürich, ca. 1970","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Dc-006","""Von A-Z LVZ!"" - zwei Knaben malen den Werbeslogan an eine Mauer, ca. 1970","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Dc-007","Durchleuchtungsanlage für Eier des LVZ, ca. 1970","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Dc-008","""Coop LVZ - Ihr Einkaufspartner"" Selbstbedienungswagen, ca. 1970","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Dc-009","Stilleben mit weissen Spargeln, Rohschinken, Weisswein und Mayonaise, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990",
"Sozarch_F_5033-Dc-010","Ausschnitt aus der Lebensmittelpalette des LVZ, u.a. Milch, Ovomaltine, Orangen, Brot, Trockenfleisch, Äpfel, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990",
"Sozarch_F_5033-Dc-011","Ausschnitt aus der Lebensmittelpalette des LVZ, u.a. Brot, Schinken, Wein, Butter, ca. 1980","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990",
"Sozarch_F_5033-Nb-001","Schaufenster Filiale LVZ: ""Jede Hausfrau ist hochbeglückt, seit es Co-op-Artikel gibt"", ca. 1940","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
